ticker,cik
mmm,66740
abt,1800
abbv,1551152
abmd,815094
acn,1467373
atvi,718877
adbe,796343
amd,2488
aap,1158449
aes,874761
amg,1004434
afl,4977
a,1090872
apd,2969
akam,1086222
alk,766421
alb,915913
are,1035443
alxn,899866
algn,1097149
alle,1579241
agn,1578845
ads,1101215
lnt,352541
all,899051
googl,1652044
goog,1652044
mo,764180
amzn,1018724
aee,1002910
aal,6201
aep,4904
axp,4962
aig,5272
amt,1053507
awk,1410636
amp,820027
abc,1140859
ame,1037868
amgn,318154
aph,820313
apc,773910
adi,6281
anss,1013462
antm,1156039
aon,315293
aos,91142
apa,6769
aiv,922864
aapl,320193
amat,6951
aptv,1521332
adm,7084
arnc,4281
anet,1596532
ajg,354190
aiz,1267238
ato,731802
t,732717
adsk,769397
adp,8670
azo,866787
avb,915912
avy,8818
bhge,1701605
bll,9389
bac,70858
bk,1390777
bax,10456
bbt,92230
bdx,10795
bby,764478
biib,875045
blk,1364742
hrb,12659
ba,12927
bkng,1075531
bwa,908255
bxp,1037540
bsx,885725
bhf,1685040
bmy,14272
avgo,1730168
br,1383312
chrw,1043277
cog,858470
cdns,813672
cpb,16732
cof,927628
cpri,1530721
cah,721371
kmx,1170010
ccl,815097
cat,18230
cboe,1374310
cbre,1138118
cbs,813828
ce,1306830
celg,816284
cnc,1071739
cnp,1130310
ctl,18926
cern,804753
cf,1324404
schw,316709
chtr,1091667
cvx,93410
cmg,1058090
cb,896159
chd,313927
ci,1739940
xec,1168054
cinf,20286
ctas,723254
csco,858877
c,831001
cfg,759944
ctxs,877890
clx,21076
cme,1156375
cms,811156
ko,21344
ctsh,1058290
cl,21665
cmcsa,1166691
cma,28412
cag,23217
cxo,1358071
cop,1163165
ed,1047862
stz,16918
coo,711404
cprt,900075
glw,24741
cost,909832
coty,1024305
cci,1051470
csx,277948
cmi,26172
cvs,64803
dhi,882184
dhr,313616
dri,940944
dva,927066
de,315189
dal,27904
xray,818479
dvn,1090012
fang,1539838
dlr,1297996
dfs,1393612
disca,1437107
disck,1437107
